State,District,Year,Area_Ha,Production_Tonnes,Yield_Ton_per_Ha,Bagasse_Tonnes,Trash_Tonnes,Press_Mud_Tonnes,Bagasse_Ton_per_Ha,Trash_Ton_per_Ha,Press_Mud_Ton_per_Ha
Assam,Kokrajhar,1997 - 1998,70.0,2878.0,41.11,805.84,345.36,115.12,11.510800000000001,4.933199999999999,1.6444
Assam,Lakhimpur,1997 - 1998,283.0,10946.0,38.68,3064.88,1313.52,437.84000000000003,10.830400000000001,4.6415999999999995,1.5472000000000001
Assam,Marigaon,1997 - 1998,670.0,30606.0,45.68,8569.68,3672.72,1224.24,12.790400000000002,5.481599999999999,1.8272
Assam,Nagaon,1997 - 1998,10043.0,397881.0,39.62,111406.68000000001,47745.72,15915.24,11.0936,4.7543999999999995,1.5848
Assam,Nalbari,1997 - 1998,225.0,9747.0,43.32,2729.1600000000003,1169.6399999999999,389.88,12.129600000000002,5.1983999999999995,1.7328000000000001
Assam,Sivasagar,1997 - 1998,114.0,4687.0,41.11,1312.3600000000001,562.4399999999999,187.48,11.510800000000001,4.933199999999999,1.6444
Assam,Sonitpur,1997 - 1998,1473.0,56462.0,38.33,15809.360000000002,6775.44,2258.48,10.7324,4.5996,1.5332
Assam,Tinsukia,1997 - 1998,484.0,19897.0,41.11,5571.160000000001,2387.64,795.88,11.510800000000001,4.933199999999999,1.6444
Bihar,Araria,1997 - 1998,162.0,7434.0,45.89,2081.52,892.0799999999999,297.36,12.849200000000002,5.5068,1.8356000000000001
Bihar,Aurangabad,1997 - 1998,393.0,8344.0,21.23,2336.32,1001.28,333.76,5.944400000000001,2.5476,0.8492000000000001
Bihar,Banka,1997 - 1998,1305.0,66105.0,50.66,18509.4,7932.599999999999,2644.2000000000003,14.184800000000001,6.079199999999999,2.0263999999999998
Bihar,Begusarai,1997 - 1998,2057.0,112359.0,54.62,31460.520000000004,13483.08,4494.36,15.293600000000001,6.554399999999999,2.1848
Bihar,Bhagalpur,1997 - 1998,1636.0,64609.0,39.49,18090.52,7753.08,2584.36,11.057200000000002,4.7388,1.5796000000000001
Bihar,Bhojpur,1997 - 1998,319.0,16154.0,50.64,4523.120000000001,1938.48,646.16,14.179200000000002,6.0767999999999995,2.0256
Bihar,Buxar,1997 - 1998,59.0,29529.0,500.49,8268.12,3543.48,1181.16,140.1372,60.0588,20.0196
Bihar,Darbhanga,1997 - 1998,767.0,16554.0,21.58,4635.120000000001,1986.48,662.16,6.0424,2.5896,0.8632
Bihar,Gaya,1997 - 1998,1911.0,40572.0,21.23,11360.160000000002,4868.639999999999,1622.88,5.944400000000001,2.5476,0.8492000000000001
Bihar,Gopalganj,1997 - 1998,12954.0,362502.0,27.98,101500.56000000001,43500.24,14500.08,7.8344000000000005,3.3576,1.1192
Bihar,Jamui,1997 - 1998,530.0,29361.0,55.4,8221.08,3523.3199999999997,1174.44,15.512,6.648,2.216
Bihar,Jehanabad,1997 - 1998,331.0,7027.0,21.23,1967.5600000000002,843.24,281.08,5.944400000000001,2.5476,0.8492000000000001
Bihar,Kaimur (bhabua),1997 - 1998,1024.0,51855.0,50.64,14519.400000000001,6222.599999999999,2074.2,14.179200000000002,6.0767999999999995,2.0256
Bihar,Katihar,1997 - 1998,158.0,7251.0,45.89,2030.2800000000002,870.12,290.04,12.849200000000002,5.5068,1.8356000000000001
Bihar,Khagaria,1997 - 1998,207.0,11455.0,55.34,3207.4,1374.6,458.2,15.495200000000002,6.6408000000000005,2.2136
Bihar,Kishanganj,1997 - 1998,2.0,92.0,46.0,25.76,11.04,3.68,12.88,5.52,1.84
Bihar,Madhubani,1997 - 1998,1058.0,36188.0,34.2,10132.640000000001,4342.5599999999995,1447.52,9.576000000000002,4.104,1.368
Bihar,Muzaffarpur,1997 - 1998,2748.0,113706.0,41.38,31837.680000000004,13644.72,4548.24,11.586400000000001,4.9656,1.6552000000000002
Bihar,Nalanda,1997 - 1998,148.0,7180.0,48.51,2010.4,861.6,287.2,13.5828,5.821199999999999,1.9404
Bihar,Nawada,1997 - 1998,261.0,5563.0,21.31,1557.64,667.56,222.52,5.9668,2.5572,0.8523999999999999
Bihar,Pashchim champaran,1997 - 1998,48028.0,2702830.0,56.28,756792.4,324339.6,108113.2,15.758400000000002,6.7536,2.2512000000000003
Bihar,Patna,1997 - 1998,375.0,18990.0,50.64,5317.200000000001,2278.7999999999997,759.6,14.179200000000002,6.0767999999999995,2.0256
